RowID,UserID,TweetID,Text
172,19247844,653926469949853696,This is how President Obama defines leadership: http://t.co/0cUrQ2NFM7 http://t.co/UyJPhCy2t1
173,19247844,653933917121179648,Why last night's @BigBang_CBS changed everything?and what it means for the show's future: http://t.co/6mJozW4c3o http://t.co/h0VuuMphgO
174,19247844,653936591275167744,Calvin Harris responds to those Taylor Swift breakup rumors: http://t.co/uORKb8Qznn http://t.co/1lJiBJGwpo
175,19247844,653936808456269827,Fringe with benefits at @pninatornai. (Can you spot the #Jonas brother?) #bridalmarket -@KimberlyFusaro http://t.co/oYgc8JmGUH
176,19247844,653947306887262208,Jennifer Lawrence's powerful essay takes a stand for equal pay for women: http://t.co/y61cOmXmld http://t.co/17ZCpY8SWV
177,19247844,653957632915582976,Love the corset and the fluttery details on this Oscar de la Renta #wedding gown. #bridalmarket -@KimberlyFusaro http://t.co/r7LEcXddpo
178,19247844,653959518959861760,Backstage at @dancingABC: the cast reacts to Tom Bergeron's loss and more from last night's #DWTS: http://t.co/meeQxl5BzM
179,19247844,653967441593282560,Kylie Jenner reveals her beauty secrets in a tour of her bedroom and bathroom: http://t.co/I7NzY4nkR1
180,19247844,653971722945871873,Why @Playboy will no longer feature nudity: http://t.co/npsHx3f4ll http://t.co/828eIG3sbY
181,19247844,653971980794900480,Everything you ever wanted to know about Hillary Clinton's debate prep rituals: http://t.co/Cp9OVGde8E
182,19247844,653973695543791616,RT @jennaldewan: Be YOU ???????? https://t.co/nxtzdlvbrY
183,19247844,653979282545463296,Xenia Deli
184,19247844,653981291805835264,You're going to want to share this with your hair stylist?the secret behind Kate Middleton's bangs: http://t.co/k7pW5aKjJk
185,19247844,653985692134080512,What if you could #GiveTwitterASlogan? The 10 funniest tweets from today's trending topic: http://t.co/HvaBjQbUA1 http://t.co/pUfUUcBo6K
186,19247844,653995144031666176,The Real Housewives of Orange County's @VGunvalson on why she split with @BrooksAyers: http://t.co/dPuknRrFAe http://t.co/AY1eKQhCWM
187,19247844,653998897359155201,Whoa
188,19247844,654002539860525056,Are you following us on Snapchat? Because you probably should be?today we put googly eyes on a cupcake. Seriously. http://t.co/811akWjkfZ
189,19247844,654013091043246080,What better way to celebrate the Aladdin re-release than by chatting with the original cast? http://t.co/bQQE37ZUqv http://t.co/IJSwYx3eol
190,19247844,654019034208444416,Loving the rear view on this Vera Wang #wedding dress. #bridalmarket -@KimberlyFusaro http://t.co/dXrxTD0icl
191,19247844,654019539450134528,See who will perform at this year's @VictoriasSecret fashion show: http://t.co/JRfi19hY2T
192,19247844,654021559766663169,Everyone is freaking out about @AdamLevine's newly-shaved head: http://t.co/pNmLv2bd8B http://t.co/4D3GTASKPv
193,19247844,654039913235673088,The biggest movie trend this season: Women in business. Finally. http://t.co/6NAqxAy9Pz http://t.co/xfsdZqTKDA
194,19247844,654042431432859657,Wrap star: This glam-boho @Vict_Kyriakides #wedding dress. #bridalmarket -@KimberlyFusaro http://t.co/ixbxoPw5Ug
195,19247844,654045457174405120,This new study found that minority women with breast cancer get worse care: http://t.co/O1umDzfe7g http://t.co/9im0cYvQV9
196,19247844,654046230654357505,Why is everyone in Hollywood suddenly wearing teeth grills again? http://t.co/Skv1ddVGLX http://t.co/esxATWMDWY
197,19247844,654057979113832448,RT @JFKucinich: How does Hillary prep for the debate? @neeratanden tells me all about it in my latest  @glamourmag #51million piece http://?
198,19247844,654058321071185920,Hayden Panettiere has checked into a treatment center for her post-partum depression: http://t.co/KPac4CeSet http://t.co/b1TuA3Oh2D
199,19247844,654061175391522816,Black and white and chic all over. Beautiful collection
200,19247844,654062830728138753,.@ToneItUp founders Karena and Katrina are launching an affordable activewear collection with @BandierFIT: http://t.co/u6wlhqlTQB
201,19247844,654068376608854017,Less than one percent of the world's population?0.7 percent to be exact?owns half of all household wealth: http://t.co/Xb19u5o9mG
202,19247844,654068608193179648,And this week in sexist celebrity comments
203,19247844,654073890919026688,How to break up: Dating pro @neilstrauss shares the 7 rules everyone should follow. http://t.co/Afl9aM7PDo
204,19247844,654075170152386561,Here's how @HillaryClinton is prepping for tonight's #DemDebate:  http://t.co/i46cY6Stav
205,19247844,654077923696189440,3 ways to boost your body confidence?and a whole new way to think about working out: http://t.co/jNQkjQ5Mmp http://t.co/qseDxH3BhL
206,19247844,654085975832948737,Don't forget to tune in to tonight's @CNN #DemDebate?and join the conversation using #51Million! http://t.co/mTYQV12moe
207,19247844,654091775037054976,Meet the 5 bad*ss
208,19247844,654100059445960704,"Fathers will be able to say to their daughters: You too can grow up to be president." -@HillaryClinton  #DemDebate http://t.co/m641YicsMH
209,19247844,654100825057427456,Is it love
210,19247844,654107446089265152,"Whenever we go contrary to John Quincy Adams' advice?searching the world for monsters to destroy?we hurt ourselves." -@MartinOMalley
211,19247844,654109866479517696,"War should be the last resort." -@BernieSanders #DemDebate
212,19247844,654111871990169600,"Tonight I want to talk
213,19247844,654112578306707456,?The American people are sick of hearing about your damn emails!" -@BernieSanders to @HillaryClinton #DemDebate http://t.co/CNGfGtn2aG
214,19247844,654117440742363136,"The hardest thing about going to college should not be paying for it." -@HillaryClinton #DemDebate
215,19247844,654118937483943937,"We are a nation of immigrants. We are made stronger by immigrants." -@MartinOMalley #DemDebate
216,19247844,654123969222676480,"I can't think of anything more 'outsider' than electing the first woman president." -@HillaryClinton #DemDebate
217,19247844,654130443831377920,"America's best days are still ahead." - @HillaryClinton #DemDebate
218,19247844,654144363585531904,Men and women agree on a work-life balance: http://t.co/VTLVSFHxYt
219,19247844,654144366831882240,Hey
220,19247844,654152946872156161,Everything you need to know about the first #DemDebate: http://t.co/GymHro7wa2 http://t.co/FJN1ZqzxVx
221,19247844,654154548022542336,.@HillaryClinton to @CarlyFiorina: Stop using "scare tactics" to block paid family leave http://t.co/TiVkDMu4aD http://t.co/lp1dYokOv1
222,19247844,654167057676791808,Are these 5 things killing your sex drive? http://t.co/orQrV99tMI http://t.co/S0Jodmjelv
223,19247844,654221865507024896,.@BernieSanders weighs in on @HillaryClinton's email scandal: http://t.co/9N5wcvWs0A
224,19247844,654250619167973376,.@jennaldewan tells us?"I was told I couldn't be an actress AND a dancer." http://t.co/cCeByc5fcB
225,19247844,654270139077148672,Here's how to give yourself the best at-home manicure ever: http://t.co/4fX7wX7egY
226,19247844,654289340382740480,Design expert @SabrinaSoto shares her decorating tips for the perfect fall gathering ????: http://t.co/URsCVzFhOg http://t.co/PbXiY61ywQ
227,19247844,654296589956186112,RT @ToneItUp: Thanks @glamourmag! We're so excited to have the #TIUapparel available @BandierFit ????http://t.co/sXHADP3980
228,19247844,654299890818883584,See the 16 super-sexy new @VeraWangGang wedding gowns
229,19247844,654311214378577920,.@DrRobertCGallo
230,19247844,654314502528307200,All of the latest updates on Lamar Odom's hospitalization: http://t.co/LpLrJkj9PX http://t.co/MDapTySk1J
231,19247844,654316245513277440,How gorg are @NicoleRichie's skin and makeup here?! Here's how to recreate it: http://t.co/hIONex0VYE http://t.co/Sn0rDhWG8g
232,19247844,654319540998946825,ICYMI?everything you need to know from last night's #DemDebate: http://t.co/6TXgjmEiQs #51Million http://t.co/Dl2FZ8MTtj
